Latitude,Longitude
53.834159,10.697536
53.83418,10.697603
53.83419495151398,10.69763388888889
53.83420907797442,10.697664777777778
53.83422165384141,10.697695666666668
53.834232140599504,10.697726555555557
53.83424025171061,10.697757444444445
53.83424598717475,10.697788333333333
53.83424963352997,10.697819222222224
53.83425172929176,10.697850111111112
53.834253,10.697881
53.83425427070824,10.697911888888889
53.83425636647002,10.697942777777778
53.834260012825254,10.697973666666668
53.83426574828938,10.698004555555556
53.8342738594005,10.698035444444445
53.83428434615858,10.698066333333333
53.83429692202558,10.698097222222223
53.834311048486015,10.698128111111112
53.834326,10.698159
