Latitude,Longitude
53.83416505990185,10.697546000821742
53.834170063510534,10.69757355840499
53.83417506711283,10.697601115994685
53.83417981274834,10.697646899955874
53.8341846873503,10.697683570743747
53.83420021401613,10.69772979085341
53.834221518163915,10.697748889495081
53.83424282230843,10.697767988156308
53.8342696459718,10.697778191708425
53.83429082111837,10.697806403612692
53.83430108620119,10.697843292595387
53.83430044121247,10.69788885863376
53.83429453467872,10.697925093372588
53.834299280189185,10.69797087749836
