Latitude,Longitude
53.83416505990185,10.697546000821742
53.83416493092829,10.697555114001434
53.8341751960899,10.697592002813012
53.83418007070875,10.697628673590827
53.83419033584748,10.697665562433299
53.83420599150575,10.697702669354879
53.834221776139955,10.697730663112887
53.83424308028745,10.697749761765047
53.83426425544103,10.697777973636963
53.83427991106352,10.697815080665682
53.83428478561321,10.697851751559694
53.83427335956055,10.697896881406503
53.83426206249418,10.697932898029512
53.83425602694154,10.697978245926304
53.83425551091124,10.698014698715468
53.83425499486987,10.6980511515035
53.83427052139224,10.698097371824087
53.834286305932736,10.698125365772132
53.83430748099616,10.69815357786118
53.8343287850741,10.698172676766518
