Latitude,Longitude
53.83416505990185,10.697546000821742
53.83416493092829,10.697555114001434
53.83416993453488,10.697582671585637
53.834185461240004,10.697628891642443
53.834195726378624,10.697665780489734
53.83420612049057,10.697693556166968
53.8342271666709,10.697730881177934
53.83424295129829,10.697758874960712
53.834253216396206,10.697795763889768
53.83425796195654,10.697841547956807
53.83426283649826,10.697878218834486
53.83427297255732,10.697924221010924
53.834283237603834,10.697961110005867
