Latitude,Longitude
53.83416505990185,10.697546000821742
53.83416493092829,10.697555114001434
53.83416993453488,10.697582671585637
53.834185461240004,10.697628891642443
53.83419585536065,10.697656667303882
53.834211511021635,10.697693774227124
53.8342271666709,10.697730881177934
53.8342374317776,10.697767770086369
53.83424769687282,10.697804659012661
53.83425796195654,10.697841547956807
53.834262707499306,10.697887332033835
53.83426219149659,10.697923784830518
53.83426693700786,10.697969568920787
